finding_id,finding_type,cve_id,advisory_id,severity,cvss_vector,cwe,ecosystem,package,installed_version,fixed_version,file_path,line,title,description,published,references,remediation
CVE-2017-15095,SCA,CVE-2017-15095,GHSA-h592-38cm-4ggp,Critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-184;CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.4,pom.xml,,jackson-databind vulnerable to deserialization flaw leading to unauthenticated remote code execution,"jackson-databind in versions prior to 2.8.11 and 2.9.4 contain a deserialization flaw which allows an unauthenticated user to perform code execution by sending maliciously crafted input to the readValue method of the ObjectMapper. This issue extends the previous flaw CVE-2017-7525, blacklisting additonal vulnerable classes.",2018-10-18,https://nvd.nist.gov/vuln/detail/CVE-2017-15095 https://github.com/FasterXML/jackson-databind/issues/1680,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.4 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2017-17485,SCA,CVE-2017-17485,GHSA-rfx6-vp9g-rh7v,Critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.4,pom.xml,,jackson-databind vulnerable to remote code execution due to incorrect deserialization and blocklist bypass,"FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the Spring libraries are available in the classpath.",2018-10-18,https://nvd.nist.gov/vuln/detail/CVE-2017-17485 https://github.com/FasterXML/jackson-databind/issues/1855,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.4 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-11307,SCA,CVE-2018-11307,GHSA-qr7j-h6gg-jmgc,Critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.6,pom.xml,,Deserialization of Untrusted Data in jackson-databind,"An issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.5. Use of Jackson default typing along with a gadget class from iBatis allows exfiltration of content. Fixed in 2.7.9.4, 2.8.11.2, and 2.9.6.",2019-07-16,https://nvd.nist.gov/vuln/detail/CVE-2018-11307 https://nvd.nist.gov/vuln/detail/CVE-2017-7525,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.6 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-14718,SCA,CVE-2018-14718,GHSA-645p-88qh-w398,Critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.7,pom.xml,,Arbitrary Code Execution in jackson-databind,"FasterXML jackson-databind 2.x before 2.9.7, 2.8.11.3, 2.7.9.5, and 2.6.7.3 might allow remote attackers to execute arbitrary code by leveraging failure to block the slf4j-ext class from polymorphic deserialization.",2019-01-04,https://nvd.nist.gov/vuln/detail/CVE-2018-14718 https://github.com/FasterXML/jackson-databind/issues/2097,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.7 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-14719,SCA,CVE-2018-14719,GHSA-4gq5-ch57-c2mg,Critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.7,pom.xml,,Arbitrary Code Execution in jackson-databind,"FasterXML jackson-databind 2.x before 2.9.7, 2.8.11.3, and 2.7.9.5 might allow remote attackers to execute arbitrary code by leveraging failure to block the blaze-ds-opt and blaze-ds-core classes from polymorphic deserialization.",2019-01-04,https://nvd.nist.gov/vuln/detail/CVE-2018-14719 https://github.com/FasterXML/jackson-databind/issues/2097,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.7 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-14720,SCA,CVE-2018-14720,GHSA-x2w5-5m2g-7h5m,Critical,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502;CWE-611,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.7,pom.xml,,XML External Entity Reference (XXE) in jackson-databind,FasterXML jackson-databind 2.x before 2.9.7 might allow attackers to conduct external XML entity (XXE) attacks by leveraging failure to block unspecified JDK classes from polymorphic deserialization.,2019-01-04,https://nvd.nist.gov/vuln/detail/CVE-2018-14720 https://github.com/FasterXML/jackson-databind/issues/2097,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.7 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-14721,SCA,CVE-2018-14721,GHSA-9mxf-g3x6-wv74,Critical,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CWE-918,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.7,pom.xml,,Server-Side Request Forgery (SSRF) in jackson-databind,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to conduct server-side request forgery (SSRF) attacks by leveraging failure to block the axis2-jaxws class from polymorphic deserialization.,2019-01-04,https://nvd.nist.gov/vuln/detail/CVE-2018-14721 https://github.com/FasterXML/jackson-databind/issues/2097,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.7 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-19360,SCA,CVE-2018-19360,GHSA-f9hv-mg5h-xcw9,Critical,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.8,pom.xml,,Deserialization of Untrusted Data in jackson-databind due to polymorphic deserialization,FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the axis2-transport-jms class from polymorphic deserialization.,2019-01-04,https://nvd.nist.gov/vuln/detail/CVE-2018-19360 https://github.com/FasterXML/jackson-databind/issues/2186,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.8 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-19361,SCA,CVE-2018-19361,GHSA-mx9v-gmh4-mgqw,Critical,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.8,pom.xml,,Deserialization of Untrusted Data in jackson-databind,FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the openjpa class from polymorphic deserialization.,2019-01-04,https://nvd.nist.gov/vuln/detail/CVE-2018-19361 https://github.com/FasterXML/jackson-databind/issues/2186,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.8 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
CVE-2018-19362,SCA,CVE-2018-19362,GHSA-c8hm-7hpq-7jhg,Critical,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.2,2.9.8,pom.xml,,com.fasterxml.jackson.core:jackson-databind vulnerable to Deserialization of Untrusted Data,FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the jboss-common-core class from polymorphic deserialization.,2019-01-04,https://nvd.nist.gov/vuln/detail/CVE-2018-19362 https://github.com/FasterXML/jackson-databind/issues/2186,Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.2 to 2.9.8 or later (transitive dependency of the spring-boot-starter-parent 2.0.0.M7 BOM; either bump the parent/BOM or pin the version in <dependencyManagement>).
